Country,Iso code,v024,v025,dataset
NA,AO,benguela,rural,AOKR71FL
NA,AO,lunda sul,urban,AOKR71FL
NA,AO,luanda,urban,AOKR71FL
NA,AO,cuando cubango,rural,AOKR71FL
NA,AO,namibe,rural,AOKR71FL
NA,AO,cabinda,urban,AOKR71FL
NA,AO,benguela,urban,AOKR71FL
NA,AO,cuanza sul,rural,AOKR71FL
NA,AO,malanje,rural,AOKR71FL
NA,AO,cuando cubango,urban,AOKR71FL
NA,AO,huíla,urban,AOKR71FL
NA,AO,lunda norte,rural,AOKR71FL
NA,AO,huambo,rural,AOKR71FL
NA,AO,malanje,urban,AOKR71FL
NA,AO,huíla,rural,AOKR71FL
NA,AO,moxico,rural,AOKR71FL
NA,AO,lunda norte,urban,AOKR71FL
NA,AO,luanda,rural,AOKR71FL
NA,AO,zaire,urban,AOKR71FL
NA,AO,bié,urban,AOKR71FL
NA,AO,bengo,urban,AOKR71FL
NA,AO,cuanza norte,urban,AOKR71FL
NA,AO,namibe,urban,AOKR71FL
NA,AO,cunene,rural,AOKR71FL
NA,AO,huambo,urban,AOKR71FL
NA,AO,lunda sul,rural,AOKR71FL
NA,AO,cabinda,rural,AOKR71FL
NA,AO,moxico,urban,AOKR71FL
NA,AO,uíge,rural,AOKR71FL
NA,AO,bengo,rural,AOKR71FL
NA,AO,bié,rural,AOKR71FL
NA,AO,cuanza norte,rural,AOKR71FL
NA,AO,uíge,urban,AOKR71FL
NA,AO,cuanza sul,urban,AOKR71FL
NA,AO,cunene,urban,AOKR71FL
NA,AO,zaire,rural,AOKR71FL
NA,BF,boucle du mouhoun,rural,BFKR81FL
NA,BF,boucle du mouhoun,urban,BFKR81FL
NA,BF,cascades,rural,BFKR81FL
NA,BF,cascades,urban,BFKR81FL
NA,BF,centre,urban,BFKR81FL
NA,BF,centre,rural,BFKR81FL
NA,BF,centre est,rural,BFKR81FL
NA,BF,centre est,urban,BFKR81FL
NA,BF,centre nord,rural,BFKR81FL
NA,BF,centre nord,urban,BFKR81FL
NA,BF,centre ouest,rural,BFKR81FL
NA,BF,centre ouest,urban,BFKR81FL
NA,BF,centre sud,rural,BFKR81FL
NA,BF,centre sud,urban,BFKR81FL
NA,BF,est,rural,BFKR81FL
NA,BF,est,urban,BFKR81FL
NA,BF,hauts-bassins,urban,BFKR81FL
NA,BF,hauts-bassins,rural,BFKR81FL
NA,BF,nord,rural,BFKR81FL
NA,BF,nord,urban,BFKR81FL
NA,BF,plateau central,rural,BFKR81FL
NA,BF,plateau central,urban,BFKR81FL
NA,BF,sahel,urban,BFKR81FL
NA,BF,sahel,rural,BFKR81FL
NA,BF,sud-ouest,rural,BFKR81FL
NA,BF,sud-ouest,urban,BFKR81FL
NA,BJ,alibori,rural,BJKR71FL
NA,BJ,alibori,urban,BJKR71FL
NA,BJ,atacora,rural,BJKR71FL
NA,BJ,atacora,urban,BJKR71FL
NA,BJ,atlantic,urban,BJKR71FL
NA,BJ,atlantic,rural,BJKR71FL
NA,BJ,borgou,rural,BJKR71FL
NA,BJ,borgou,urban,BJKR71FL
NA,BJ,collines,rural,BJKR71FL
NA,BJ,collines,urban,BJKR71FL
NA,BJ,couffo,urban,BJKR71FL
NA,BJ,couffo,rural,BJKR71FL
NA,BJ,donga,rural,BJKR71FL
NA,BJ,donga,urban,BJKR71FL
NA,BJ,littoral,urban,BJKR71FL
NA,BJ,mono,rural,BJKR71FL
NA,BJ,mono,urban,BJKR71FL
NA,BJ,ouémé,urban,BJKR71FL
NA,BJ,ouémé,rural,BJKR71FL
NA,BJ,plateau,urban,BJKR71FL
NA,BJ,plateau,rural,BJKR71FL
NA,BJ,zou,rural,BJKR71FL
NA,BJ,zou,urban,BJKR71FL
NA,BU,cankuzo,rural,BUKR71FL
NA,BU,karusi,rural,BUKR71FL
NA,BU,karusi,urban,BUKR71FL
NA,BU,ruyigi,rural,BUKR71FL
NA,BU,bujumbura mairie,urban,BUKR71FL
NA,BU,rutana,rural,BUKR71FL
NA,BU,gitega,rural,BUKR71FL
NA,BU,ngozi,rural,BUKR71FL
NA,BU,cibitoke,rural,BUKR71FL
NA,BU,gitega,urban,BUKR71FL
NA,BU,muramvya,rural,BUKR71FL
NA,BU,rutana,urban,BUKR71FL
NA,BU,mwaro,rural,BUKR71FL
NA,BU,kirundo,rural,BUKR71FL
NA,BU,kayanza,rural,BUKR71FL
NA,BU,bubanza,urban,BUKR71FL
NA,BU,ngozi,urban,BUKR71FL
NA,BU,muyinga,rural,BUKR71FL
NA,BU,bujumbura rural,urban,BUKR71FL
NA,BU,bubanza,rural,BUKR71FL
NA,BU,makamba,rural,BUKR71FL
NA,BU,kayanza,urban,BUKR71FL
NA,BU,bururi,rural,BUKR71FL
NA,BU,rumonge,urban,BUKR71FL
NA,BU,bujumbura rural,rural,BUKR71FL
NA,BU,kirundo,urban,BUKR71FL
NA,BU,rumonge,rural,BUKR71FL
NA,BU,makamba,urban,BUKR71FL
NA,BU,bururi,urban,BUKR71FL
NA,BU,mwaro,urban,BUKR71FL
NA,BU,cibitoke,urban,BUKR71FL
NA,BU,cankuzo,urban,BUKR71FL
NA,BU,muyinga,urban,BUKR71FL
NA,BU,muramvya,urban,BUKR71FL
NA,BU,ruyigi,urban,BUKR71FL
NA,CD,equateur,rural,CDKR61FL
NA,CD,kinshasa,urban,CDKR61FL
NA,CD,bandundu,rural,CDKR61FL
NA,CD,sud-kivu,rural,CDKR61FL
NA,CD,orientale,rural,CDKR61FL
NA,CD,kasai-occidental,rural,CDKR61FL
NA,CD,katanga,rural,CDKR61FL
NA,CD,orientale,urban,CDKR61FL
NA,CD,nord-kivu,rural,CDKR61FL
NA,CD,bas-congo,rural,CDKR61FL
NA,CD,bandundu,urban,CDKR61FL
NA,CD,kasai-oriental,rural,CDKR61FL
NA,CD,nord-kivu,urban,CDKR61FL
NA,CD,equateur,urban,CDKR61FL
NA,CD,maniema,urban,CDKR61FL
NA,CD,maniema,rural,CDKR61FL
NA,CD,katanga,urban,CDKR61FL
NA,CD,kasai-occidental,urban,CDKR61FL
NA,CD,bas-congo,urban,CDKR61FL
NA,CD,kasai-oriental,urban,CDKR61FL
NA,CD,sud-kivu,urban,CDKR61FL
NA,CF,rs i,urban,CFKR31FL
NA,CF,rs i,rural,CFKR31FL
NA,CF,rs ii,urban,CFKR31FL
NA,CF,rs ii,rural,CFKR31FL
NA,CF,rs iii,urban,CFKR31FL
NA,CF,rs iii,rural,CFKR31FL
NA,CF,rs iv,urban,CFKR31FL
NA,CF,rs iv,rural,CFKR31FL
NA,CF,rs v,urban,CFKR31FL
NA,CF,rs v,rural,CFKR31FL
NA,CF,bangui,urban,CFKR31FL
NA,CG,kouilou,rural,CGKR61FL
NA,CG,niari,urban,CGKR61FL
NA,CG,niari,rural,CGKR61FL
NA,CG,lekoumou,rural,CGKR61FL
NA,CG,bouenza,urban,CGKR61FL
NA,CG,bouenza,rural,CGKR61FL
NA,CG,pool,rural,CGKR61FL
NA,CG,plateaux,rural,CGKR61FL
NA,CG,cuvette,rural,CGKR61FL
NA,CG,cuvette - ouest,rural,CGKR61FL
NA,CG,sangha,urban,CGKR61FL
NA,CG,sangha,rural,CGKR61FL
NA,CG,likouala,rural,CGKR61FL
NA,CG,brazzaville,urban,CGKR61FL
NA,CG,pointe-noire,urban,CGKR61FL
NA,CI,abidjan,urban,CIKR81FL
NA,CI,abidjan,rural,CIKR81FL
NA,CI,sassandra-marahoue,urban,CIKR81FL
NA,CI,sassandra-marahoue,rural,CIKR81FL
NA,CI,savanes,rural,CIKR81FL
NA,CI,savanes,urban,CIKR81FL
NA,CI,vallee du bandama,urban,CIKR81FL
NA,CI,vallee du bandama,rural,CIKR81FL
NA,CI,comoe,urban,CIKR81FL
NA,CI,comoe,rural,CIKR81FL
NA,CI,montagnes,rural,CIKR81FL
NA,CI,montagnes,urban,CIKR81FL
NA,CI,yamoussoukro,rural,CIKR81FL
NA,CI,yamoussoukro,urban,CIKR81FL
NA,CI,zanzan,rural,CIKR81FL
NA,CI,zanzan,urban,CIKR81FL
NA,CI,bas sassandra,rural,CIKR81FL
NA,CI,bas sassandra,urban,CIKR81FL
NA,CI,denguele,rural,CIKR81FL
NA,CI,denguele,urban,CIKR81FL
NA,CI,lacs,rural,CIKR81FL
NA,CI,lacs,urban,CIKR81FL
NA,CI,woroba,urban,CIKR81FL
NA,CI,woroba,rural,CIKR81FL
NA,CI,goh-djiboua,urban,CIKR81FL
NA,CI,goh-djiboua,rural,CIKR81FL
NA,CI,lagunes,rural,CIKR81FL
NA,CI,lagunes,urban,CIKR81FL
NA,CM,far-north,urban,CMKR71FL
NA,CM,east,rural,CMKR71FL
NA,CM,centre (without yaounde),urban,CMKR71FL
NA,CM,yaounde,urban,CMKR71FL
NA,CM,adamawa,rural,CMKR71FL
NA,CM,north-west,urban,CMKR71FL
NA,CM,far-north,rural,CMKR71FL
NA,CM,littoral (without douala),urban,CMKR71FL
NA,CM,douala,urban,CMKR71FL
NA,CM,south,urban,CMKR71FL
NA,CM,south,rural,CMKR71FL
NA,CM,west,rural,CMKR71FL
NA,CM,south-west,urban,CMKR71FL
NA,CM,centre (without yaounde),rural,CMKR71FL
NA,CM,east,urban,CMKR71FL
NA,CM,north-west,rural,CMKR71FL
NA,CM,north,rural,CMKR71FL
NA,CM,north,urban,CMKR71FL
NA,CM,west,urban,CMKR71FL
NA,CM,littoral (without douala),rural,CMKR71FL
NA,CM,adamawa,urban,CMKR71FL
NA,ET,tigray,urban,ETKR81FL
NA,ET,tigray,rural,ETKR81FL
NA,ET,afar,urban,ETKR81FL
NA,ET,afar,rural,ETKR81FL
NA,ET,amhara,urban,ETKR81FL
NA,ET,amhara,rural,ETKR81FL
NA,ET,oromia,urban,ETKR81FL
NA,ET,oromia,rural,ETKR81FL
NA,ET,somali,urban,ETKR81FL
NA,ET,somali,rural,ETKR81FL
NA,ET,benishangul,urban,ETKR81FL
NA,ET,benishangul,rural,ETKR81FL
NA,ET,snnpr,urban,ETKR81FL
NA,ET,snnpr,rural,ETKR81FL
NA,ET,gambela,urban,ETKR81FL
NA,ET,gambela,rural,ETKR81FL
NA,ET,harari,urban,ETKR81FL
NA,ET,harari,rural,ETKR81FL
NA,ET,addis adaba,urban,ETKR81FL
NA,ET,dire dawa,urban,ETKR81FL
NA,ET,dire dawa,rural,ETKR81FL
NA,GA,ngounié,urban,GAKR71FL
NA,GA,nyanga,urban,GAKR71FL
NA,GA,haut-ogooué,urban,GAKR71FL
NA,GA,port-gentil,urban,GAKR71FL
NA,GA,ogooué-ivindo,rural,GAKR71FL
NA,GA,libreville,urban,GAKR71FL
NA,GA,haut-ogooué,rural,GAKR71FL
NA,GA,ngounié,rural,GAKR71FL
NA,GA,ogooué-lolo,urban,GAKR71FL
NA,GA,estuaire,urban,GAKR71FL
NA,GA,woleu-ntem,urban,GAKR71FL
NA,GA,ogooué-ivindo,urban,GAKR71FL
NA,GA,ogooué-maritime,urban,GAKR71FL
NA,GA,ogooué-lolo,rural,GAKR71FL
NA,GA,woleu-ntem,rural,GAKR71FL
NA,GA,estuaire,rural,GAKR71FL
NA,GA,ogooué-maritime,rural,GAKR71FL
NA,GA,moyen-ogooué,urban,GAKR71FL
NA,GA,moyen-ogooué,rural,GAKR71FL
NA,GA,nyanga,rural,GAKR71FL
NA,GH,western,rural,GHKR8CFL
NA,GH,western,urban,GHKR8CFL
NA,GH,central,rural,GHKR8CFL
NA,GH,central,urban,GHKR8CFL
NA,GH,greater accra,urban,GHKR8CFL
NA,GH,greater accra,rural,GHKR8CFL
NA,GH,volta,rural,GHKR8CFL
NA,GH,volta,urban,GHKR8CFL
NA,GH,eastern,urban,GHKR8CFL
NA,GH,eastern,rural,GHKR8CFL
NA,GH,ashanti,urban,GHKR8CFL
NA,GH,ashanti,rural,GHKR8CFL
NA,GH,western north,rural,GHKR8CFL
NA,GH,western north,urban,GHKR8CFL
NA,GH,ahafo,urban,GHKR8CFL
NA,GH,ahafo,rural,GHKR8CFL
NA,GH,bono,rural,GHKR8CFL
NA,GH,bono,urban,GHKR8CFL
NA,GH,bono east,rural,GHKR8CFL
NA,GH,bono east,urban,GHKR8CFL
NA,GH,oti,rural,GHKR8CFL
NA,GH,oti,urban,GHKR8CFL
NA,GH,northern,rural,GHKR8CFL
NA,GH,northern,urban,GHKR8CFL
NA,GH,savannah,rural,GHKR8CFL
NA,GH,savannah,urban,GHKR8CFL
NA,GH,north east,rural,GHKR8CFL
NA,GH,north east,urban,GHKR8CFL
NA,GH,upper east,rural,GHKR8CFL
NA,GH,upper east,urban,GHKR8CFL
NA,GH,upper west,rural,GHKR8CFL
NA,GH,upper west,urban,GHKR8CFL
NA,GM,banjul,urban,GMKR81FL
NA,GM,kanifing,urban,GMKR81FL
NA,GM,brikama,urban,GMKR81FL
NA,GM,brikama,rural,GMKR81FL
NA,GM,mansakonko,urban,GMKR81FL
NA,GM,mansakonko,rural,GMKR81FL
NA,GM,kerewan,urban,GMKR81FL
NA,GM,kerewan,rural,GMKR81FL
NA,GM,kuntaur,urban,GMKR81FL
NA,GM,kuntaur,rural,GMKR81FL
NA,GM,janjanbureh,urban,GMKR81FL
NA,GM,janjanbureh,rural,GMKR81FL
NA,GM,basse,urban,GMKR81FL
NA,GM,basse,rural,GMKR81FL
NA,GN,mamou,urban,GNKR71FL
NA,GN,mamou,rural,GNKR71FL
NA,GN,n'zérékoré,rural,GNKR71FL
NA,GN,kindia,rural,GNKR71FL
NA,GN,conakry,urban,GNKR71FL
NA,GN,kankan,rural,GNKR71FL
NA,GN,boké,rural,GNKR71FL
NA,GN,faranah,rural,GNKR71FL
NA,GN,labé,rural,GNKR71FL
NA,GN,kindia,urban,GNKR71FL
NA,GN,kankan,urban,GNKR71FL
NA,GN,labé,urban,GNKR71FL
NA,GN,boké,urban,GNKR71FL
NA,GN,faranah,urban,GNKR71FL
NA,GN,n'zérékoré,urban,GNKR71FL
NA,KE,mombasa,urban,KEKR8CFL
NA,KE,kwale,rural,KEKR8CFL
NA,KE,kwale,urban,KEKR8CFL
NA,KE,kilifi,rural,KEKR8CFL
NA,KE,kilifi,urban,KEKR8CFL
NA,KE,tana river,urban,KEKR8CFL
NA,KE,tana river,rural,KEKR8CFL
NA,KE,lamu,rural,KEKR8CFL
NA,KE,lamu,urban,KEKR8CFL
NA,KE,taita taveta,rural,KEKR8CFL
NA,KE,taita taveta,urban,KEKR8CFL
NA,KE,garissa,rural,KEKR8CFL
NA,KE,garissa,urban,KEKR8CFL
NA,KE,wajir,rural,KEKR8CFL
NA,KE,wajir,urban,KEKR8CFL
NA,KE,mandera,rural,KEKR8CFL
NA,KE,mandera,urban,KEKR8CFL
NA,KE,marsabit,rural,KEKR8CFL
NA,KE,marsabit,urban,KEKR8CFL
NA,KE,isiolo,rural,KEKR8CFL
NA,KE,isiolo,urban,KEKR8CFL
NA,KE,meru,urban,KEKR8CFL
NA,KE,meru,rural,KEKR8CFL
NA,KE,tharaka-nithi,rural,KEKR8CFL
NA,KE,tharaka-nithi,urban,KEKR8CFL
NA,KE,embu,rural,KEKR8CFL
NA,KE,embu,urban,KEKR8CFL
NA,KE,kitui,rural,KEKR8CFL
NA,KE,kitui,urban,KEKR8CFL
NA,KE,machakos,urban,KEKR8CFL
NA,KE,machakos,rural,KEKR8CFL
NA,KE,makueni,rural,KEKR8CFL
NA,KE,makueni,urban,KEKR8CFL
NA,KE,nyandarua,rural,KEKR8CFL
NA,KE,nyandarua,urban,KEKR8CFL
NA,KE,nyeri,rural,KEKR8CFL
NA,KE,nyeri,urban,KEKR8CFL
NA,KE,kirinyaga,rural,KEKR8CFL
NA,KE,kirinyaga,urban,KEKR8CFL
NA,KE,murang'a,rural,KEKR8CFL
NA,KE,murang'a,urban,KEKR8CFL
NA,KE,kiambu,rural,KEKR8CFL
NA,KE,kiambu,urban,KEKR8CFL
NA,KE,turkana,rural,KEKR8CFL
NA,KE,turkana,urban,KEKR8CFL
NA,KE,west pokot,urban,KEKR8CFL
NA,KE,west pokot,rural,KEKR8CFL
NA,KE,samburu,rural,KEKR8CFL
NA,KE,samburu,urban,KEKR8CFL
NA,KE,trans nzoia,rural,KEKR8CFL
NA,KE,trans nzoia,urban,KEKR8CFL
NA,KE,uasin gishu,rural,KEKR8CFL
NA,KE,uasin gishu,urban,KEKR8CFL
NA,KE,elgeyo-marakwet,urban,KEKR8CFL
NA,KE,elgeyo-marakwet,rural,KEKR8CFL
NA,KE,nandi,rural,KEKR8CFL
NA,KE,nandi,urban,KEKR8CFL
NA,KE,baringo,rural,KEKR8CFL
NA,KE,baringo,urban,KEKR8CFL
NA,KE,laikipia,rural,KEKR8CFL
NA,KE,laikipia,urban,KEKR8CFL
NA,KE,nakuru,rural,KEKR8CFL
NA,KE,nakuru,urban,KEKR8CFL
NA,KE,narok,rural,KEKR8CFL
NA,KE,narok,urban,KEKR8CFL
NA,KE,kajiado,urban,KEKR8CFL
NA,KE,kajiado,rural,KEKR8CFL
NA,KE,kericho,rural,KEKR8CFL
NA,KE,kericho,urban,KEKR8CFL
NA,KE,bomet,rural,KEKR8CFL
NA,KE,bomet,urban,KEKR8CFL
NA,KE,kakamega,urban,KEKR8CFL
NA,KE,kakamega,rural,KEKR8CFL
NA,KE,vihiga,rural,KEKR8CFL
NA,KE,vihiga,urban,KEKR8CFL
NA,KE,bungoma,rural,KEKR8CFL
NA,KE,bungoma,urban,KEKR8CFL
NA,KE,busia,rural,KEKR8CFL
NA,KE,busia,urban,KEKR8CFL
NA,KE,siaya,rural,KEKR8CFL
NA,KE,siaya,urban,KEKR8CFL
NA,KE,kisumu,rural,KEKR8CFL
NA,KE,kisumu,urban,KEKR8CFL
NA,KE,homa bay,urban,KEKR8CFL
NA,KE,homa bay,rural,KEKR8CFL
NA,KE,migori,rural,KEKR8CFL
NA,KE,migori,urban,KEKR8CFL
NA,KE,kisii,rural,KEKR8CFL
NA,KE,kisii,urban,KEKR8CFL
NA,KE,nyamira,rural,KEKR8CFL
NA,KE,nyamira,urban,KEKR8CFL
NA,KE,nairobi,urban,KEKR8CFL
NA,KM,Mohéli,Rural,KMKR61FL
NA,KM,Mohéli,Urban,KMKR61FL
NA,KM,Ndzouani,Rural,KMKR61FL
NA,KM,Ndzouani,Urban,KMKR61FL
NA,KM,Ngazidja,Rural,KMKR61FL
NA,KM,Ngazidja,Urban,KMKR61FL
NA,LB,north western,rural,LBKR7AFL
NA,LB,south eastern a,rural,LBKR7AFL
NA,LB,south central,rural,LBKR7AFL
NA,LB,south central,urban,LBKR7AFL
NA,LB,south eastern b,rural,LBKR7AFL
NA,LB,north western,urban,LBKR7AFL
NA,LB,north central,rural,LBKR7AFL
NA,LB,north central,urban,LBKR7AFL
NA,LB,south eastern b,urban,LBKR7AFL
NA,LB,south eastern a,urban,LBKR7AFL
NA,LS,butha-buthe,rural,LSKR81FL
NA,LS,butha-buthe,urban,LSKR81FL
NA,LS,leribe,rural,LSKR81FL
NA,LS,leribe,urban,LSKR81FL
NA,LS,berea,rural,LSKR81FL
NA,LS,berea,urban,LSKR81FL
NA,LS,maseru,rural,LSKR81FL
NA,LS,maseru,urban,LSKR81FL
NA,LS,mafeteng,rural,LSKR81FL
NA,LS,mafeteng,urban,LSKR81FL
NA,LS,mohale's hoek,rural,LSKR81FL
NA,LS,mohale's hoek,urban,LSKR81FL
NA,LS,quthing,rural,LSKR81FL
NA,LS,quthing,urban,LSKR81FL
NA,LS,qacha's nek,rural,LSKR81FL
NA,LS,thaba-tseka,rural,LSKR81FL
